bot,stance,followers_deg,followers_hom,followings_deg,followings_hom,mentionings_deg,mentionings_hom,mentioners_deg,mentioners_hom,replyings_deg,replyings_hom,replyers_deg,replyers_hom,quotings_deg,quotings_hom,quoters_deg,quoters_hom
0,1,17,1.0,63,0.9523809552192688,46,0.8913043737411499,2,1.0,12,0.9166666865348816,0,,6,1.0,1,1.0
0,2,1,0.0,4,0.25,3,0.3333333432674408,0,,0,,0,,2,0.0,0,
0,1,155,1.0,171,0.9941520690917969,26,0.8461538553237915,3,1.0,5,0.6000000238418579,1,1.0,2,1.0,0,
0,1,251,0.8964143395423889,200,0.9700000286102295,29,0.931034505367279,115,0.95652174949646,27,1.0,39,1.0,3,1.0,1,1.0
0,0,3,1.0,1,0.0,2,1.0,1,1.0,0,,0,,0,,0,
0,0,4,0.25,101,0.13861386477947235,22,0.13636364042758942,0,,0,,0,,0,,0,
0,1,9,0.7777777910232544,39,1.0,29,0.9655172228813171,2,1.0,2,1.0,2,1.0,1,1.0,1,1.0
1,0,1,0.0,3,0.3333333432674408,0,,0,,1,1.0,1,1.0,0,,0,
1,2,0,,18,0.2777777910232544,6,0.3333333432674408,0,,2,0.5,0,,0,,0,
0,2,155,0.9419354796409607,33,0.9090909361839294,9,0.8888888955116272,75,0.9466666579246521,56,1.0,139,0.9784172773361206,7,0.8571428656578064,3,1.0
0,2,6,0.5,6,0.3333333432674408,2,0.5,2,1.0,7,1.0,8,1.0,1,0.0,0,
1,1,9,1.0,17,1.0,32,1.0,0,,2,1.0,0,,2,1.0,0,
1,2,0,,7,0.5714285969734192,0,,0,,0,,0,,0,,0,
0,2,0,,4,0.25,0,,0,,0,,0,,0,,0,
0,1,104,0.7884615659713745,48,0.9166666865348816,9,0.8888888955116272,8,0.875,0,,0,,0,,0,
0,0,2,0.5,2,0.5,2,0.5,1,1.0,36,1.0,36,1.0,5,1.0,5,1.0
0,1,0,,5,1.0,0,,0,,0,,0,,0,,0,
0,0,0,,1,1.0,1,1.0,1,1.0,0,,0,,0,,0,
1,1,0,,3,1.0,24,0.9166666865348816,0,,3,1.0,0,,0,,0,
0,0,5,0.4000000059604645,11,0.3636363744735718,1,1.0,3,0.6666666865348816,22,1.0,24,0.9166666865348816,0,,0,
1,2,1,1.0,8,0.375,5,0.4000000059604645,1,1.0,5,0.4000000059604645,1,1.0,3,0.3333333432674408,1,1.0
0,2,2,0.0,3,0.3333333432674408,5,0.6000000238418579,1,1.0,0,,0,,0,,0,
0,1,35,0.5428571701049805,43,0.6279069781303406,8,0.625,6,0.6666666865348816,0,,0,,2,0.5,0,
0,2,0,,4,0.75,4,0.25,0,,4,0.5,1,1.0,2,1.0,2,1.0
1,1,29,0.931034505367279,72,0.9722222089767456,23,1.0,0,,0,,0,,5,1.0,0,
0,0,0,,6,0.3333333432674408,0,,0,,0,,0,,0,,0,
1,0,0,,0,,0,,0,,0,,0,,0,,0,
0,0,0,,15,0.13333334028720856,1,0.0,0,,1,0.0,0,,0,,0,
0,1,129,0.9767441749572754,107,0.9906542301177979,57,0.9473684430122375,0,,67,0.9850746393203735,68,1.0,14,1.0,8,1.0
0,1,240,0.9958333373069763,206,0.9805825352668762,40,0.9750000238418579,25,0.9599999785423279,0,,2,0.0,6,0.8333333134651184,0,
0,2,0,,7,0.2857142984867096,2,0.5,1,1.0,4,1.0,4,1.0,0,,0,
0,1,96,0.9791666865348816,142,0.9577465057373047,118,0.8813559412956238,15,0.9333333373069763,34,0.7058823704719543,13,0.9230769276618958,42,0.9523809552192688,4,0.75
0,0,3,0.0,69,0.14492753148078918,2,0.0,0,,0,,0,,0,,0,
0,2,4,0.25,6,0.3333333432674408,1,1.0,1,1.0,3,1.0,3,1.0,4,1.0,4,1.0
0,1,69,1.0,135,0.9925925731658936,29,1.0,5,1.0,0,,0,,8,1.0,3,0.6666666865348816
0,1,339,0.9941002726554871,420,0.9785714149475098,22,1.0,5,1.0,2,1.0,0,,0,,0,
1,2,1,0.0,9,0.2222222238779068,3,0.6666666865348816,1,1.0,5,1.0,5,1.0,1,1.0,1,1.0
1,1,1,0.0,21,0.523809552192688,2,0.5,0,,0,,0,,0,,0,
0,1,310,0.9935483932495117,259,0.9961389899253845,35,1.0,63,1.0,27,1.0,19,1.0,7,1.0,15,1.0
0,2,9,0.8888888955116272,24,0.7083333134651184,5,0.4000000059604645,0,,37,1.0,33,1.0,4,1.0,4,1.0
1,1,1,1.0,1,1.0,0,,0,,0,,0,,0,,0,
1,0,0,,0,,0,,0,,0,,0,,0,,0,
0,2,0,,14,0.5,4,0.5,0,,0,,0,,0,,0,
0,0,6,0.8333333134651184,5,0.800000011920929,2,0.5,2,1.0,3,1.0,3,1.0,0,,0,
0,1,193,0.9740932583808899,177,0.9774011373519897,40,0.9750000238418579,131,0.9847328066825867,255,0.9960784316062927,226,1.0,87,0.977011501789093,102,1.0
1,1,18,1.0,59,0.9491525292396545,22,0.9090909361839294,0,,0,,0,,6,1.0,0,
0,2,2,1.0,14,0.7857142686843872,22,0.7727272510528564,3,1.0,48,0.8541666865348816,4,1.0,1,1.0,1,1.0
1,0,0,,0,,0,,0,,0,,0,,0,,0,
0,1,23,1.0,164,0.9695122241973877,0,,0,,0,,0,,0,,0,
0,0,0,,1,0.0,1,1.0,1,1.0,6,1.0,6,1.0,1,1.0,1,1.0
0,2,5,0.800000011920929,7,0.8571428656578064,4,0.75,3,0.3333333432674408,6,1.0,8,0.75,2,0.5,1,1.0
0,0,14,0.6428571343421936,14,0.5,3,1.0,2,1.0,24,1.0,10,1.0,0,,0,
0,0,0,,1,1.0,0,,0,,0,,0,,0,,0,
0,2,1,1.0,1,1.0,11,0.5454545617103577,1,1.0,25,0.8399999737739563,3,0.0,3,1.0,0,
0,1,20,1.0,47,1.0,34,0.970588207244873,0,,17,1.0,2,1.0,3,1.0,0,
0,1,20,1.0,217,0.9631336331367493,3,1.0,0,,0,,0,,1,1.0,0,
0,1,6,1.0,14,1.0,0,,0,,0,,0,,0,,0,
0,2,4,0.75,35,0.4571428596973419,4,0.5,0,,2,1.0,2,1.0,1,1.0,0,
0,0,0,,2,0.5,1,1.0,1,1.0,1,1.0,1,1.0,0,,0,
0,0,0,,16,0.1875,0,,0,,0,,0,,0,,0,
0,1,41,1.0,72,0.9861111044883728,8,1.0,0,,0,,0,,2,1.0,0,
0,1,21,1.0,41,0.9756097793579102,37,0.8918918967247009,7,1.0,5,0.6000000238418579,5,0.800000011920929,19,0.7894737124443054,0,
0,1,95,0.9789473414421082,128,1.0,51,0.9215686321258545,2,1.0,8,0.625,1,1.0,6,1.0,0,
0,0,10,0.6000000238418579,4,0.5,6,0.5,18,0.6111111044883728,8,1.0,9,0.8888888955116272,4,1.0,9,1.0
0,1,8,0.25,15,0.9333333373069763,0,,1091,0.7103574872016907,2,1.0,2895,0.3050086498260498,0,,56,0.7857142686843872
0,0,0,,0,,1,1.0,1,1.0,0,,0,,0,,0,
0,0,2,1.0,12,0.1666666716337204,1,1.0,1,1.0,0,,0,,0,,0,
1,1,0,,6,1.0,20,1.0,0,,6,1.0,0,,3,1.0,0,
0,0,1,1.0,6,0.8333333134651184,2,0.5,1,1.0,15,1.0,15,1.0,0,,0,
1,2,2,0.5,20,0.20000000298023224,8,0.25,1,1.0,14,0.9285714030265808,13,1.0,0,,0,
1,0,0,,0,,0,,0,,0,,0,,0,,0,
0,2,19,0.15789473056793213,46,0.06521739065647125,14,0.1428571492433548,4,0.25,0,,0,,0,,0,
0,1,59,1.0,192,1.0,0,,0,,0,,0,,0,,0,
1,0,0,,4,0.75,1,1.0,1,1.0,8,1.0,8,1.0,0,,0,
0,2,0,,10,0.0,1,0.0,0,,0,,0,,0,,0,
0,1,175,0.6399999856948853,158,0.6012658476829529,19,0.9473684430122375,85,0.8705882430076599,277,0.9963898658752441,344,0.9883720874786377,26,1.0,55,0.9636363387107849
0,1,2,1.0,8,0.875,4,1.0,0,,0,,0,,0,,0,
1,0,0,,5,0.20000000298023224,0,,0,,0,,0,,0,,0,
0,1,120,1.0,358,0.9916201233863831,0,,0,,0,,0,,0,,0,
0,1,21,1.0,28,1.0,5,1.0,0,,1,1.0,0,,0,,0,
1,2,0,,6,0.3333333432674408,6,0.3333333432674408,0,,0,,0,,0,,0,
0,1,266,0.9849624037742615,551,0.9927404522895813,0,,0,,0,,0,,0,,0,
1,1,0,,2,1.0,9,0.8888888955116272,0,,0,,0,,0,,0,
0,1,63,1.0,53,1.0,22,0.8636363744735718,0,,0,,0,,0,,0,
1,0,0,,1,0.0,1,0.0,0,,0,,0,,2,0.0,0,
1,0,3,0.3333333432674408,4,0.0,0,,0,,0,,0,,0,,0,
1,2,0,,65,0.04615384712815285,2,0.0,0,,0,,0,,0,,0,
1,1,0,,6,1.0,0,,0,,0,,0,,0,,0,
0,1,21,1.0,25,1.0,1,1.0,0,,0,,0,,0,,0,
1,1,0,,17,1.0,6,1.0,0,,7,1.0,1,1.0,0,,0,
0,2,3,0.3333333432674408,1,1.0,6,0.6666666865348816,2,1.0,5,1.0,4,1.0,2,1.0,2,1.0
0,2,0,,6,0.1666666716337204,0,,0,,0,,0,,0,,0,
0,0,5,0.20000000298023224,14,0.0714285746216774,2,0.5,1,1.0,71,1.0,71,1.0,9,1.0,9,1.0
1,0,0,,1,1.0,0,,0,,0,,0,,0,,0,
0,2,88,0.9545454382896423,43,0.9069767594337463,23,0.739130437374115,33,1.0,84,0.976190447807312,68,0.970588207244873,10,1.0,16,0.9375
0,1,214,1.0,270,0.9370370507240295,44,0.9318181872367859,3,1.0,0,,0,,13,1.0,0,
0,1,21,1.0,21,1.0,27,1.0,2,1.0,4,1.0,2,1.0,3,1.0,0,
0,0,1,0.0,36,0.1666666716337204,0,,0,,0,,0,,0,,0,
0,1,104,0.9807692170143127,225,0.9733333587646484,67,0.9402984976768494,12,1.0,8,0.875,1,0.0,21,1.0,1,1.0
1,2,0,,13,0.3076923191547394,2,0.5,0,,14,0.7142857313156128,10,1.0,1,1.0,1,1.0
0,0,0,,0,,1,1.0,1,1.0,0,,0,,0,,0,
0,1,73,0.9863013625144958,31,1.0,45,1.0,4,1.0,1,1.0,1,1.0,8,1.0,0,
0,1,25,1.0,11,1.0,42,1.0,0,,0,,0,,8,0.875,0,
1,0,0,,3,0.0,0,,0,,0,,0,,0,,0,
1,1,6,1.0,14,1.0,27,0.9259259104728699,1,1.0,1,1.0,0,,3,1.0,3,1.0
0,0,0,,0,,1,1.0,1,1.0,27,1.0,28,0.9642857313156128,0,,0,
1,0,0,,0,,0,,0,,0,,0,,0,,0,
0,0,1,1.0,11,0.27272728085517883,0,,0,,2,1.0,2,1.0,0,,0,
1,1,0,,11,0.8181818127632141,12,0.8333333134651184,0,,0,,0,,2,1.0,0,
0,2,8,0.5,15,0.6000000238418579,5,0.800000011920929,2,1.0,43,1.0,43,1.0,6,1.0,4,1.0
0,2,32,0.59375,38,0.5,19,0.21052631735801697,5,0.800000011920929,0,,1,0.0,2,1.0,2,1.0
0,0,0,,2,0.5,3,0.3333333432674408,0,,0,,0,,0,,0,
0,1,74,0.8918918967247009,20,0.8500000238418579,35,0.8857142925262451,14,0.8571428656578064,20,0.8999999761581421,12,1.0,6,1.0,6,0.6666666865348816
0,0,2,1.0,6,0.5,1,1.0,0,,0,,0,,0,,0,
0,0,0,,0,,0,,0,,0,,0,,0,,0,
0,2,2,1.0,8,0.375,2,0.5,1,1.0,23,1.0,23,1.0,0,,0,
0,1,20,1.0,28,1.0,113,0.9734513163566589,2,1.0,0,,0,,56,0.9821428656578064,3,1.0
0,0,58,0.2931034564971924,70,0.17142857611179352,7,0.2857142984867096,20,0.25,20,1.0,23,0.9130434989929199,6,1.0,6,1.0
1,0,1,1.0,3,1.0,1,1.0,1,1.0,2,1.0,2,1.0,1,1.0,1,1.0
0,2,1,0.0,12,0.1666666716337204,11,0.09090909361839294,0,,0,,0,,0,,0,
0,1,170,0.9470587968826294,186,0.897849440574646,61,0.9016393423080444,29,1.0,22,0.9090909361839294,14,1.0,11,1.0,24,1.0
1,0,1,1.0,5,0.20000000298023224,2,0.0,0,,0,,0,,0,,0,
0,2,0,,27,0.14814814925193787,3,1.0,1,1.0,0,,0,,0,,0,
0,2,5,0.800000011920929,12,0.6666666865348816,24,0.3333333432674408,1,1.0,43,0.7674418687820435,11,0.9090909361839294,0,,0,
0,1,34,1.0,61,1.0,45,0.9777777791023254,1,1.0,4,1.0,0,,7,1.0,0,
0,1,5,0.800000011920929,35,0.9428571462631226,6,0.8333333134651184,1,1.0,3,0.6666666865348816,0,,2,1.0,2,1.0
0,2,0,,5,0.4000000059604645,5,0.6000000238418579,0,,0,,0,,0,,0,
1,1,0,,5,0.800000011920929,4,1.0,0,,81,1.0,75,1.0,16,1.0,16,1.0
0,0,0,,5,0.0,2,0.5,1,1.0,6,1.0,6,1.0,0,,0,
0,1,35,1.0,70,1.0,17,0.9411764740943909,1,1.0,0,,0,,2,1.0,0,
1,2,6,0.0,43,0.04651162773370743,6,0.0,0,,5,0.800000011920929,4,1.0,0,,0,
0,2,2,1.0,32,0.71875,7,0.7142857313156128,0,,14,0.5,3,1.0,0,,0,
1,0,0,,16,0.25,4,0.5,0,,1,1.0,0,,0,,0,
0,1,5,1.0,15,1.0,3,1.0,0,,3,1.0,0,,2,1.0,0,
0,0,0,,4,0.75,0,,0,,0,,0,,0,,0,
0,0,0,,3,0.0,3,0.0,0,,1,0.0,0,,1,0.0,0,
1,0,0,,1,0.0,0,,0,,0,,0,,0,,0,
0,1,2,0.0,45,0.5333333611488342,8,0.75,2,1.0,215,1.0,215,1.0,3,1.0,3,1.0
0,1,22,0.3636363744735718,40,0.7250000238418579,14,1.0,5,1.0,177,1.0,170,1.0,8,0.875,6,1.0
0,1,111,1.0,104,1.0,66,0.8787878751754761,0,,1,1.0,0,,22,1.0,0,
0,1,0,,9,1.0,0,,0,,0,,0,,0,,0,
1,1,2,1.0,41,0.8536585569381714,17,0.9411764740943909,0,,1,1.0,0,,0,,0,
0,0,4,1.0,6,1.0,2,1.0,1,1.0,1,1.0,1,1.0,0,,0,
0,0,0,,0,,0,,0,,0,,0,,0,,0,
0,2,0,,13,0.23076923191547394,3,0.3333333432674408,1,1.0,0,,0,,0,,0,
1,1,1,1.0,3,1.0,10,1.0,0,,0,,0,,0,,0,
0,0,0,,4,0.0,0,,0,,2,1.0,2,1.0,0,,0,
0,0,4,0.75,3,0.6666666865348816,2,1.0,1,1.0,0,,0,,0,,0,
1,0,0,,0,,0,,0,,0,,0,,0,,0,
1,0,0,,2,0.0,0,,0,,0,,0,,0,,0,
0,2,9,0.1111111119389534,19,0.3684210479259491,3,0.3333333432674408,1,1.0,0,,0,,0,,0,
0,1,180,0.9888888597488403,256,0.98046875,51,0.9019607901573181,8,1.0,113,0.9469026327133179,33,1.0,10,0.8999999761581421,2,1.0
0,0,0,,0,,1,0.0,0,,0,,0,,0,,0,
0,0,3,0.6666666865348816,3,0.6666666865348816,0,,0,,2,1.0,2,1.0,0,,0,
0,2,2,0.5,3,0.6666666865348816,3,0.6666666865348816,1,1.0,3,0.6666666865348816,2,1.0,0,,0,
0,0,6,0.3333333432674408,16,0.25,2,0.5,2,1.0,0,,0,,0,,0,
1,0,1,1.0,1,0.0,0,,0,,0,,0,,0,,0,
0,2,43,0.3255814015865326,60,0.4333333373069763,11,0.4545454680919647,6,0.8333333134651184,274,1.0,279,0.9964157938957214,27,0.8888888955116272,22,1.0
1,0,0,,3,0.0,0,,0,,0,,0,,0,,0,
0,1,93,1.0,122,1.0,28,1.0,23,1.0,0,,2,1.0,4,1.0,0,
0,2,0,,20,0.20000000298023224,3,0.3333333432674408,0,,1,1.0,1,1.0,0,,0,
1,0,0,,10,0.0,0,,0,,0,,0,,0,,0,
0,1,171,1.0,196,0.9948979616165161,37,1.0,4,1.0,0,,0,,3,1.0,0,
0,0,3,0.6666666865348816,4,0.25,0,,0,,0,,0,,0,,0,
1,2,0,,10,0.4000000059604645,2,0.0,0,,2,1.0,2,1.0,0,,0,
0,1,102,0.9803921580314636,102,0.9803921580314636,7,1.0,28,1.0,30,1.0,18,1.0,18,1.0,21,1.0
1,0,0,,24,0.0416666679084301,1,0.0,0,,0,,0,,0,,0,
0,0,1,0.0,28,0.2857142984867096,10,0.20000000298023224,0,,0,,0,,0,,0,
0,2,2,0.5,6,0.5,2,1.0,1,1.0,1,1.0,0,,1,1.0,1,1.0
1,0,0,,0,,0,,0,,0,,0,,0,,0,
1,1,0,,1,1.0,0,,0,,0,,0,,0,,0,
0,2,0,,0,,3,0.6666666865348816,0,,0,,0,,0,,0,
1,2,11,0.27272728085517883,48,0.1458333283662796,0,,15,0.0,0,,0,,1,0.0,0,
0,0,3,0.3333333432674408,7,0.5714285969734192,1,1.0,1,1.0,10,1.0,10,1.0,3,1.0,3,1.0
0,2,5,1.0,13,0.8461538553237915,1,1.0,0,,0,,0,,1,1.0,0,
0,2,247,0.9109311699867249,80,0.9125000238418579,15,0.7333333492279053,106,0.8584905862808228,0,,55,0.7636363506317139,3,1.0,2,1.0
0,0,0,,0,,0,,0,,0,,0,,0,,0,
0,1,26,0.9230769276618958,26,0.9615384340286255,6,1.0,2,1.0,6,1.0,8,1.0,6,1.0,6,1.0
0,2,2,0.5,8,0.625,0,,0,,0,,0,,0,,0,
0,0,6,0.5,7,0.4285714328289032,1,1.0,0,,0,,0,,0,,0,
0,1,109,1.0,23,1.0,43,1.0,1,1.0,0,,0,,5,1.0,0,
0,0,0,,0,,0,,0,,0,,0,,0,,0,
1,1,0,,0,,1,1.0,1,1.0,2,1.0,2,1.0,0,,0,
0,0,0,,7,0.1428571492433548,1,1.0,1,1.0,1,1.0,1,1.0,2,1.0,2,1.0
0,1,86,1.0,77,1.0,20,0.8999999761581421,1,1.0,1,1.0,1,1.0,0,,0,
1,2,0,,14,0.1428571492433548,2,0.0,0,,0,,0,,0,,0,
0,2,9,1.0,17,0.8235294222831726,12,0.8333333134651184,1,1.0,184,0.989130437374115,169,1.0,3,1.0,2,1.0
0,0,1,0.0,44,0.15909090638160706,0,,0,,0,,0,,0,,0,
0,1,1,1.0,87,0.9425287246704102,32,0.90625,0,,66,1.0,4,1.0,4,1.0,6,1.0
0,1,89,1.0,288,0.9861111044883728,46,1.0,1,1.0,13,1.0,1,1.0,8,1.0,0,
1,2,4,0.25,9,0.4444444477558136,4,0.0,0,,0,,0,,2,0.5,0,
1,0,0,,3,0.0,0,,0,,0,,0,,0,,0,
0,2,35,0.4000000059604645,56,0.3928571343421936,7,0.7142857313156128,7,0.8571428656578064,3,1.0,7,0.2857142984867096,21,1.0,24,1.0
0,1,6,1.0,22,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,,0,
1,1,0,,0,,0,,0,,0,,0,,0,,0,
0,0,0,,0,,0,,0,,0,,0,,0,,0,
0,2,15,0.46666666865348816,18,0.3888888955116272,8,0.375,4,1.0,24,1.0,24,1.0,19,0.9473684430122375,22,1.0
1,0,3,0.3333333432674408,49,0.20408163964748383,3,1.0,0,,0,,0,,0,,0,
0,1,219,1.0,31,1.0,12,1.0,1,1.0,2,1.0,3,1.0,30,1.0,28,1.0
1,0,0,,1,0.0,0,,0,,0,,0,,0,,0,
0,1,296,1.0,382,0.9973822236061096,38,0.8947368264198303,43,0.9767441749572754,191,0.9790576100349426,9,0.8888888955116272,7,0.8571428656578064,0,
1,0,0,,0,,0,,0,,0,,0,,0,,0,
0,2,6,0.5,15,0.2666666805744171,1,1.0,7,0.7142857313156128,277,1.0,277,1.0,15,1.0,16,0.9375
0,0,9,0.2222222238779068,7,0.4285714328289032,4,0.75,1,1.0,6,1.0,6,1.0,2,1.0,2,1.0
0,1,109,0.9816513657569885,200,0.9649999737739563,37,0.8648648858070374,0,,0,,0,,2,0.5,0,
0,2,5,0.6000000238418579,19,0.7368420958518982,35,0.7142857313156128,1,0.0,17,0.6470588445663452,2,0.5,0,,2,1.0
1,1,0,,2,1.0,8,1.0,0,,0,,0,,2,1.0,0,
0,2,22,0.8181818127632141,28,0.7857142686843872,18,0.8888888955116272,4,1.0,80,0.925000011920929,46,0.97826087474823,92,0.97826087474823,79,1.0
0,2,7,0.1428571492433548,16,0.4375,4,1.0,1,1.0,52,1.0,46,1.0,1,1.0,1,1.0
1,1,4,1.0,6,1.0,37,1.0,0,,0,,0,,5,1.0,0,
0,0,11,0.3636363744735718,8,0.125,3,0.6666666865348816,1,1.0,21,1.0,21,1.0,2,1.0,2,1.0
0,2,6,0.3333333432674408,6,0.1666666716337204,6,0.1666666716337204,2,1.0,0,,0,,0,,0,
0,0,0,,0,,1,1.0,1,1.0,0,,0,,0,,0,
0,2,18,0.7222222089767456,13,0.8461538553237915,4,1.0,7,0.5714285969734192,6,1.0,6,1.0,12,1.0,12,1.0
1,0,3,0.6666666865348816,10,0.5,0,,0,,0,,0,,0,,0,
1,0,2,0.5,15,0.06666667014360428,1,0.0,0,,0,,0,,0,,0,
0,2,6,0.5,16,0.375,10,0.5,2,1.0,15,0.6666666865348816,13,0.692307710647583,2,0.5,0,
0,2,10,1.0,36,0.6944444179534912,27,0.7407407164573669,1,1.0,38,0.18421052396297455,0,,1,0.0,0,
1,1,0,,4,0.5,1,1.0,0,,0,,0,,0,,0,
1,2,2,0.5,14,0.5714285969734192,2,0.0,0,,0,,0,,0,,0,
1,0,14,0.0714285746216774,63,0.1428571492433548,12,0.0833333358168602,2,0.5,0,,0,,1,0.0,0,
0,1,21,0.3333333432674408,26,0.5,8,0.75,1,1.0,11,1.0,11,1.0,3,1.0,3,1.0
0,0,0,,0,,1,1.0,0,,1,1.0,0,,0,,0,
1,0,0,,7,0.5714285969734192,5,0.4000000059604645,0,,0,,0,,0,,0,
0,1,177,0.9887005686759949,737,0.9484395980834961,86,0.9418604373931885,14,0.9285714030265808,2,0.5,1,0.0,130,0.9769230484962463,29,1.0
0,1,73,0.9726027250289917,161,0.9503105878829956,36,0.8888888955116272,12,1.0,41,1.0,35,1.0,27,1.0,6,1.0
0,0,1,0.0,33,0.06060606241226196,4,0.0,0,,0,,0,,0,,0,
0,0,0,,2,0.0,0,,0,,3,1.0,3,1.0,0,,0,
0,0,0,,0,,1,1.0,1,1.0,0,,0,,0,,0,
0,1,1,1.0,1,1.0,7,1.0,1,1.0,1,1.0,1,1.0,2,1.0,0,
0,1,214,0.9579439163208008,228,1.0,50,1.0,283,0.9893993139266968,438,1.0,515,0.9980582594871521,24,1.0,49,1.0
1,1,3,0.6666666865348816,19,0.8421052694320679,12,0.9166666865348816,0,,6,0.8333333134651184,0,,0,,0,
0,2,0,,4,0.75,6,0.6666666865348816,0,,0,,0,,0,,0,
0,0,6,0.5,9,0.4444444477558136,3,0.6666666865348816,1,1.0,6,1.0,6,1.0,2,1.0,2,1.0
0,0,4,0.5,43,0.3488371968269348,0,,0,,6,1.0,6,1.0,0,,0,
0,2,2,0.5,4,1.0,6,0.8333333134651184,1,1.0,7,1.0,7,1.0,0,,0,
1,1,0,,3,1.0,8,0.875,0,,0,,0,,0,,0,
0,2,7,0.5714285969734192,16,0.5,0,,22,0.6818181872367859,111,1.0,112,0.9910714030265808,0,,1,0.0
1,1,0,,0,,0,,0,,0,,0,,0,,0,
0,1,36,1.0,38,1.0,20,1.0,11,1.0,10,1.0,1,1.0,0,,0,
