uid,tweet
u69904027,"RT @POTUS: There’s no more time to waste when it comes to combating climate change.

Let this be the moment we answer history’s call. Let C…"
u69904027,"RT @UNBiodiversity: ""Rich or poor, powerful or powerless, we will all suffer the effects of #ClimateChange &amp; ecosystem destruction.""

For #…"
u69904027,"RT @Forbes: CEOs are already seeing the impact of climate change, a global survey finds https://t.co/YBy6ZenQEH https://t.co/kneyk0c0Kj"
u69904027,"RT @UN: Ensuring success at the UN climate conference #COP26 will require ambitious #ClimateAction, @antonioguterres stresses, urging world…"
u528020973,"@sarayupani She may have a point - the way some folks engage in ""nagin dance"" (dance used too loosely!), invasion is the least threat!

And also, do you know we used to take in CO2 and give out O2, but these invaders are the reason we changed and thus, the climate crisis! 🤔

#Sarcastic"
u596489946,If you want to do something about climate change: STOP EATING ANIMALS!!  [source: @nytimes] https://t.co/lNhTxshoZh
u596489946,"RT @antonioguterres: More than 820 million people face hunger today. By threatening food security around the world, the climate crisis coul…"
u596489946,"RT @jmcappiello: Just a reminder that this is what climate change looks like. It is real. It is killing the planet, animals, and people. #I…"
u596489946,RT @lizbonnin: I’ll just leave this here.. #DrowningInPlastic #ClimateChange 🌎💚 https://t.co/5d2ScC2jE6
u1429114364141789184,"@SequoiaKingsNPS It makes me so sad, and fearful. With climate change this will not be the last fire. How will these trees survive?"
u1066634199396900865,"RT @FightforTuvalu: ""How the climate crisis upended my life"" - Vanessa in Samoa
To have a robust response to climate change its pivotal to…"
u1066634199396900865,"RT @FightforTuvalu: The infringement of climate change affects all individuals irrespective of geographical location, socio-economic class,…"
u1066634199396900865,Denying climate change comes from a place of privilege.
u1066634199396900865,"The Tuvaluan nation is on the front-line of climate related displacement, how our International response is executed will define and dictate the future of displaced people. Tuvalu will act as a test if we can't get that right then we have no chance. https://t.co/I2Rr3JYsSY https://t.co/iVFuSOcjRA"
u1066634199396900865,"Every issue stated during our campaign still rings true. Just because one wins an election doesn't mean they disregard what they advocate and what constituents voted for, a notion that seems unprecedented in today's political climate. (4/6)"
u1066634199396900865,"RT @FightforTuvalu: There is a proven link between climate and health. Suria Eusala Paufolau, Chief of Public Health explains public health…"
u1066634199396900865,"RT @FightforTuvalu: The paramount obstacle preventing a vapid, robust response to the nation's infringing climate ramifications is Tuvalu's…"
u1066634199396900865,Denying climate change comes from a place of privilege.
u1066634199396900865,RT @FightforTuvalu: we will see the world's first nation erased by climate ramifications instigated by leading nations yearn for economic g…
u1066634199396900865,"Hey everyone, if you don't already know, I am the Director of a Grassroots NGO @fightfortuvalu, dedicated to educating the global individual on the situation in Tuvalu and protecting the nation from climate displacement. Check it out and show your support! https://t.co/AUaK0a0PVC"
u1066634199396900865,Economic growth shouldn’t cost the climate.
u1066634199396900865,"RT @FightforTuvalu: Show that you acknowledge the climate emergency Tuvalu is facing by visiting our website https://t.co/ETYhvWJRqR, deman…"
u1066634199396900865,"RT @FightforTuvalu: The frustration. The Tuvaluan people are frustrated. We are frustrated. There is a climate emergency in Tuvalu, which h…"
u1066634199396900865,"RT @FightforTuvalu: The Tuvaluan nation is on the front-line of climate related displacement, how our International response is executed wi…"
u1066634199396900865,"Get on this team 👏🏼
Let's get to 1000 pledges! 

Take your parting in fighting for Tuvalu, protecting the nation from climate displacement and demanding legislative reform to recognise individuals displaced due to climate ramifications.

https://t.co/E5bmQgc5jY https://t.co/Xega1Xv3lK"
u1066634199396900865,"Rep. Marjorie Taylor Greene preaches that there are only two genders, male and female and to trust the science. Yet, she doesn’t believe in climate change and doesn’t wear a mask. SMH 🤦‍♂️"
u1066634199396900865,@_NicoleNonya @hurley_wj @StarbuckLizzie @NurseShield @Respect7loyalty @JasonLo34776171 @mterr337 @saylahachey @DCurrahee @Blob_Fish2 @louvrechrz @Thebreadgamer @wokejammer @GoHappyAlways @MNmomto4 @PissOffTrumpkin @jpierni @Cowboy_BobBob @jules1327 @radiochick841 Hey resistance friends! I and the Tuvaluan people would be so grateful if you could check out our grassroots movement https://t.co/PEwDfhjzKN saving the nation from climate displacement and demanding legislative reform. Tuvaluans will be the first ever climate refugees! Act now!
u1066634199396900865,@BulldogBen @hstoorg @jc_dehart @Ineedmycoffy @InspiringU2 @intranautt @itsjustDottie @itstheflavoring @Ivelisse357 @ivyjofreeman @JackedUp2020 @JamesrossrJames @jamie121079 @JanLuvz2laf_2 @Jannymonkey2 @JamieOsta @janetmdh @JannPolitical @JasminePolitics Hey resistance friends! I and the Tuvaluan people would be so grateful if you could check out our grassroots movement https://t.co/PEwDfhjzKN saving the nation from climate displacement and demanding legislative reform. Tuvaluans will be the first ever climate refugees! Act now!
u1066634199396900865,"Thanks so much for the support, my climate activist and enthusiast friends! 
400 People thus far have taken the pledge. Let's get to 500!
Take your part in fighting for Tuvalu, protecting the nation from climate displacement.
https://t.co/bPcE25vM9m https://t.co/JIRktIGZxH"
u1066634199396900865,"RT @FightforTuvalu: The Tuvaluan nation is on the front-line of climate-related displacement, how our response is executed will define clim…"
u1066634199396900865,"@KathleenSoprano Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@bruce_lugo Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,RT @JamesDimasWKYZ: Do you believe climate change is a result of mankind?
u1066634199396900865,"RT @JamesDimasWKYZ: On a scale of 1 to 10, 
how scared are you of the ramifications of Climate Change?"
u1066634199396900865,"@HillNodding Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@TwArmyvet Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@ttenchantr Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@witch_lisa Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@KillemAkerz Great comment. Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@Cat7in7the7hat Great comment Phil. Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@Thecrowlster Then Helen! take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@Iheartskwerls Hahah very true. Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@JanWilliamson4 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@PinkyDink4 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@Richard04082144 Then Richard, take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@albertsjoberg Then Albert take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@SkepticalMutant Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@tchbastard Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@JsMy2girls Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@tentacle_pup That’s absolutely amazing! So passionate you should take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@d1rogue Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@slaverd Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@jimsaint99 👏🏼 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@LemeritusPrime These guys are scared too. Ten years they have left. Take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@GeorgeTNeill So do I Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@rorosaunt Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@RichmondWalls1 Yes Howard! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@JoanTV Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@gmearley Then Gayle take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@nicamsterdam Great comment Nicole! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@JennyCowdin Correct. Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@vanessa81648173 Wow Vanessa! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@equityliberty Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@Xxpatco Then look after these kids, take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@AlwaizeW Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@williamliam Agreed William. Nice reinforcing you arguments with evidence! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@charles85895749 Oh we are worried Charles. Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@Prhunter1 Then Peggy take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@KutiYuliya Moving. 
Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@KutiYuliya Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@traciyoung40 Wow just wow. These guys feel the pain too. So take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@Renee08868963 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@patrickslight1 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@ELAINE_1984_ Wow benes! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@James82476788 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@MollyMc10358867 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@jasakad Haha. I can either confirm or deny that. Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@MargoLW1228 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@kathiepunt8691 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@CindyRa38536948 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@Maryuary13 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@huskydroolOhMy Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@AlbertBarthe94 Okay next question. Why haven’t you take you taken your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@CALeeLeeB Couldn’t of agreed more! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@dsketch13 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@NotyaBizz Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@Guruwil That is very true. Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@pearlsbeforesw4 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@DagDubbo Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@BigmamaDolcea Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@Boendy1 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@keith_finke Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@thatgirlinsb Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@mommytlc Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@scott_k_lester Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@_GammaTawn Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@EnviroSci Then take your part in fighting for Tuvalu, protecting the nation from climate displacement!
https://t.co/E5bmQgc5jY"
u1066634199396900865,"@MedMusicMommy Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@bvroman1955 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@MichaelSocialT Yes Michael! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@HippyFranky Agreed mate! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@JohnBrown1858 Yes John. Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@PirateSoul4 Damn! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@dawhite_0311 Then Dave take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@SandraB02388221 Yes we indeed are! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@KiddGio Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@1_OldGeezer1950 @Zachary03699160 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@paceplanet Same 🥺. My generation is scared now too! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@markly50 Wow Mark! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@150_stormy Agreed! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@SholesOwen @Zachary03699160 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@Dathuman2 I am apart of the coming generation and yes we are! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@estep_ml Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@ChuckleeDoRight That’s horrible to hear Chuck. Displaced. Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@LilloAngie Agreed! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@Topher_Lane Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@markkosmider Very true. Good acknowledgment! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@KKDsMiMi That’s where everyone should be. Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@rossiesmom Agree Sam! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@Sallyforth18 Couldn’t agree more Sally! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@wearaGDMask42 Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@PoppyJane13 I feel you Karen! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
u1066634199396900865,"@tentacle_pup Yes! Then take your part in fighting for Tuvalu, protecting the nation from climate displacement! https://t.co/E5bmQgc5jY"
