id,followers,retweet,retweet_prec,post,treatment_effect
u869356058690670594,72,21,0.020833333,1008,0.109072051
u1408079195972976644,1,1,0.02,50,0.141491
u738658474884800512,1,1,0.019607843,51,0.0657545
u1245268751601131521,1,1,0.018518519,54,0.132776
u1346430334934646785,1,1,0.018181818,55,0.134869
u1298317829180141569,1,3,0.017647059,170,0.170765
u1073631615207858176,1,3,0.016949153,177,0.122311
u1049949307351134208,152,7,0.016746411,418,0.093747102
u9718202,1,1,0.016129032,62,0.148582
u974666522,1,3,0.014778325,203,0.101199
u1017029007752290305,172,11,0.014666667,750,0.09398723
u415765530,65,15,0.014326648,1047,0.097705682
u3335731978,138,15,0.014245014,1053,-0.002595138
u1336694352983314433,36,5,0.014164306,353,0.004442487
u1262529759092903937,1,1,0.013333333,75,0.132118
u1447128841319813121,53,1,0.013333333,75,0.0956382
u1337468242785406978,1,1,0.013157895,76,0.14182
u1430551156967755776,1,3,0.013043478,230,0.1371055
u1305560602706939906,25,2,0.011904762,168,0.093375692
u994304342130913281,85,5,0.011600928,431,-0.000390607
u871439248569884672,1,1,0.011494253,87,0.141848
u214858616,1,1,0.010989011,91,0.0027055
u1434690005767753730,1,2,0.010810811,185,0.1373925
u1186280733314371584,1,3,0.010638298,282,0.1355235
u1222887048757104641,1,1,0.010526316,95,0.004179
u1363926675059138560,1,1,0.010416667,96,0.00462
u887464432430850048,65,8,0.010139417,789,0.168580791
u21350025,1,2,0.010050251,199,0.122948
u1308031437975826437,72,3,0.01,300,0.098088293
u39207730,1,2,0.00990099,202,0.012243
u1407455972545613824,1,2,0.009756098,205,0.104608
u1459059167709188100,1,2,0.009708738,206,0.111608
u119810404,1,2,0.009345794,214,0.07259
u17023184,1,2,0.009259259,216,0.127106
u237270207,130,9,0.008628955,1043,-0.028770761
u717456558922330113,251,6,0.007863696,763,0.091860896
u1005087744027082752,40,2,0.007782101,257,0.108987468
u1222505104080809985,1,1,0.007692308,130,0.140371
u1364435474404675584,1,1,0.007518797,133,0.045164
u4543487849,1,2,0.006944444,288,0.0699125
u1386977343214866436,1,1,0.006944444,144,0.0138215
u781982295863484456,75,7,0.006789525,1031,0.089547225
u828301184368783360,147,1,0.006578947,152,0.090801005
u635826578,106,2,0.005830904,343,0.098007252
u1042182809945698305,58,2,0.005830904,343,0.089530333
u237051101,1,1,0.005555556,180,0.116739
u528020973,168,6,0.005291005,1134,0.08736174
u4923586274,1,1,0.005181347,193,0.116417
u900529779606036481,1,1,0.005025126,199,0.14056
u130448374,1,1,0.005025126,199,0.013076
u4061256675,1,1,0.005,200,0.119483
u879456634413740032,140,5,0.005,1000,0.09405877
u1145786568000573441,1,1,0.004975124,201,0.1014545
u3299134920,1,1,0.004975124,201,0.094794
u351145094,1,1,0.004975124,201,0.010241
u2695936506,1,1,0.004901961,204,0.113484
u1128703380577296384,1,1,0.004784689,209,0.126273
u903649503441498112,1,1,0.004694836,213,0.135177
u2813278717,1,1,0.00462963,216,0.132475
u2827390219,1,1,0.004405286,227,-0.014819
u768550272624955392,18,4,0.004333694,923,0.1029413
u1041440667313078274,110,3,0.004261364,704,0.096239557
u193364583,100,4,0.003929273,1018,0.076619579
u1011559160540876800,159,4,0.003902439,1025,0.096190949
u1448739324,149,4,0.003787879,1056,0.106577615
u1369830392581259265,15,2,0.003623188,552,0.087789188
u1132637930,1,1,0.003521127,284,0.00273
u961168892109340672,8,3,0.002979146,1007,0.0916314
u107328524,17,3,0.002979146,1007,0.080998945
u3670178534,46,3,0.002946955,1018,0.08907253
u77436536,110,3,0.002912621,1030,0.085741765
u4646156380,25,3,0.002854424,1051,0.086686871
u891007619787235328,31,1,0.002645503,378,0.079946417
u2577886615,23,3,0.002555366,1174,0.06973231
u4199649639,68,1,0.002427184,412,0.108584
u1365309446,1,1,0.002293578,436,0.061173
u1123606100413014016,134,2,0.002072539,965,0.082706021
u78587111,16,2,0.002047083,977,0.071410684
u265561503,19,2,0.002002002,999,0.097723333
u1528456471,9,2,0.001982161,1009,0.077196583
u1124405762,85,2,0.001915709,1044,0.08102372
u3805219155,3,1,0.001795332,557,0.091757
u1265974494629330949,4,1,0.001736111,576,0.0801815
u4021650673,105,1,0.00172117,581,0.099224555
u1418575769215782912,32,2,0.001560062,1282,0.088843167
u504526414,26,1,0.001356852,737,0.084273
u827789521,120,1,0.00128866,776,0.097426538
u936331435614593024,38,1,0.00125,800,0.0903378
u2205210260,10,1,0.001071811,933,0.083762636
u981473550254198784,13,1,0.001054852,948,0.103592
u588465294,204,1,0.001010101,990,0.083050041
u28649627,37,1,0.001,1000,0.078696
u1346991528,77,1,0.000988142,1012,0.095038456
u48773551,26,1,0.00097561,1025,0.088988345
u1035372205977292800,16,1,0.000956938,1045,0.088348474
u919922230905245697,34,1,0.000952381,1050,0.088216283
u1357351456387592195,159,1,0.000922509,1084,0.068405153
