id,followers,retweet,retweet_prec,post,treatment_effect
u19161833,1,5,0.038461538,130,0.11495715
u882251170865197056,4,2,0.038461538,52,0.1078056
u742877225259667457,4,4,0.038461538,104,0.011095875
u1283504983065808896,1,2,0.037037037,54,0.03066
u1622514817,1,8,0.036363636,220,0.0306495
u1059788496645316609,1,3,0.034090909,88,0.2045085
u1240538396738457602,14,7,0.03286385,213,0.073999676
u941466202680983553,8,6,0.032786885,183,0.143995688
u1225382429080391680,4,8,0.032,250,0.201264
u1377737682785296386,2,4,0.031746032,126,0.1247925
u1100836013151346688,4,3,0.029126214,103,0.110904033
u1378933676935766016,2,4,0.028368794,141,0.20291775
u2481568951,1,4,0.027586207,145,-0.0051555
u1254994182705278981,22,11,0.027295285,403,0.068811272
u1142961546403950592,74,14,0.026168224,535,0.076481727
u539286281,3,4,0.025316456,158,0.1361605
u912332925181599744,1,1,0.025,40,0.007245
u1480636178722340870,1,6,0.024590164,244,0.0041265
u1266896257659912192,1,8,0.024539877,326,0.0474495
u1055517674619445250,2,1,0.024390244,41,0.1798965
u1108492795348742144,1,1,0.023809524,42,0.2044245
u1404427761071050757,1,1,0.023809524,42,0.027279
u255224923,1,1,0.023255814,43,0.099645
u900089993393319936,3,1,0.022727273,44,0.063777
u130349826,4,1,0.022727273,44,0.016078125
u286556165,1,1,0.022222222,45,0.0038325
u887316920,1,1,0.022222222,45,-0.000777
u816438390862282752,3,2,0.021978022,91,0.0612255
u1372143922915467267,1,3,0.02189781,137,0.1149141
u1972519165,5,4,0.021857923,183,0.055065
u3185458104,1,1,0.02173913,46,0.2044245
u3064684991,18,1,0.02173913,46,0.077909448
u1171717742170296320,2,1,0.02173913,46,0.03332175
u1285478023815483392,1,1,0.021276596,47,0.099645
u921256591898185728,6,1,0.021276596,47,0.04343325
u23339635,3,1,0.020833333,48,0.0551005
u1332076567774646273,6,1,0.020408163,49,0.1139415
u10500252,1,1,0.020408163,49,0.099645
u1374905726,1,1,0.020408163,49,-0.004221
u1106238403778088960,8,4,0.019512195,205,0.090888
u1210956763618394113,15,4,0.019323671,207,0.119186735
u292726960,6,1,0.018867925,53,0.0782025
u1356680007381364737,2,1,0.018867925,53,-0.00499275
u1167330903955255296,2,4,0.018518519,216,0.099092
u145124708,2,1,0.018518519,54,0.034159125
u4870580612,7,5,0.018450185,271,0.0324051
u1390760608707059716,2,1,0.018181818,55,-0.00076125
u2772516270,56,18,0.017928287,1004,0.121042967
u1411779940056510466,11,7,0.017326733,404,0.062106546
u294231556,1,1,0.016949153,59,-0.0041265
u1152900909959122944,1,3,0.016759777,179,0.07130025
u390526906,3,1,0.016393443,61,0.088900875
u17745048,1,1,0.016129032,62,0.027615
u1251531541504761856,1,4,0.015936255,251,0.0809655
u399024575,1,4,0.01532567,261,0.0000525
u2379135535,4,3,0.014778325,203,0.02676975
u699643786155044865,2,3,0.014563107,206,0.1530795
u1046661,27,3,0.014285714,210,0.056301
u85526005,10,1,0.014084507,71,0.0734937
u1150447035373555712,1,2,0.014084507,142,0.02027025
u1359148201467670528,1,1,0.013513514,74,0.098091
u135863931,1,1,0.013513514,74,0.0722085
u740919810091978752,2,1,0.012658228,79,-0.00532875
u1245123530334916608,6,1,0.0125,80,0.1066125
u1239206834193326085,1,1,0.012345679,81,0.09841125
u1417503705507803143,1,1,0.012345679,81,-0.0048615
u866982591114731523,2,2,0.012269939,163,0.0603225
u1384053916690571264,13,5,0.011792453,424,0.062796
u1407257829560537088,5,2,0.011764706,170,0.09526475
u1324756591342735360,1,1,0.011494253,87,-0.0052605
u1259831419079139328,1,1,0.011111111,90,0.1368255
u2325736448,69,11,0.011,1000,0.085860209
u396349377,1,1,0.010989011,91,0.09853725
u18834851,12,4,0.010498688,381,0.0671034
u822517901294845953,28,2,0.00990099,202,0.07064715
u894366373438263297,7,2,0.009852217,203,0.0467835
u1265767577491570688,1,2,0.009569378,209,0.0914235
u1217799332713390080,1,1,0.009433962,106,0.099204
u262493732,1,2,0.009389671,213,0.158277
u1462278983182082048,20,11,0.009235936,1191,0.1232295
u2164368277,22,3,0.009230769,325,0.140856068
u3012555684,4,1,0.009009009,111,0.0918372
u172065212,4,1,0.008474576,118,0.128485875
u1185809578996355072,1,1,0.008264463,121,0.1327305
u1311650703052476416,60,12,0.008224812,1459,0.08968992
u62146404,1,1,0.008196721,122,-0.004662
u1135614461685960704,16,1,0.008130081,123,0.105858375
u1386806967453114370,6,2,0.008097166,247,0.096369
u1183702428014858241,2,1,0.007936508,126,0.10954125
u539219365,381,5,0.00770416,649,0.011107833
u875419731167236096,3,1,0.007692308,130,0.163272375
u1256080517809819648,1,1,0.007194245,139,0.0990465
u832274779541381120,1,1,0.006849315,146,0.01911
u83839889,8,2,0.006849315,292,0.01502109
u451783441,17,2,0.006802721,294,0.015286176
u1239232480043032576,1,2,0.00617284,324,0.20454
u1118272114312863745,1,1,0.005988024,167,0.098637
u1398945683885985793,1,1,0.005780347,173,0.0024675
u88006261,3,1,0.005714286,175,0.0991655
u1360243206764519428,1,2,0.005494505,364,0.02163
u1138352461293318146,147,3,0.005474453,548,0.089099891
u3691876996,4,1,0.005102041,196,0.05896275
u3333363088,2,1,0.005025126,199,0.08099175
u80213939,4,1,0.005025126,199,0.073518375
u2470813680,1,1,0.004975124,201,-0.0048615
u1275777664180269056,1,1,0.004975124,201,-0.004956
u1208320402726031361,3,2,0.004962779,403,0.013369997
u960450828,1,1,0.004950495,202,-0.0048615
u56363520,1,2,0.004926108,406,0.098805
u1238040995268374528,8,1,0.004901961,204,0.1000377
u266171635,1,1,0.004807692,208,-0.0006195
u1046899810287071232,1,1,0.004761905,210,0.10752
u1373687992099823616,2,1,0.004739336,211,0.1087065
u24503334,1,1,0.004385965,228,-0.0031605
u288661791,17,1,0.004081633,245,0.0565425
u869758349272686593,1,1,0.004016064,249,0.2033745
u1016359279895474176,47,4,0.003996004,1001,0.07674261
u3246247247,14,4,0.003780718,1058,-0.004599
u2415812162,8,1,0.003773585,265,-0.01292025
u424660058,2,1,0.003690037,271,0.10233825
u4132841,4,1,0.003597122,278,0.04363275
u1219707591334514693,1,1,0.003558719,281,0.026586
u247484483,9,3,0.003550296,845,-0.003318
u850067449491857408,4,1,0.003236246,309,0.1097565
u1347330709514424320,4,1,0.003115265,321,0.1378965
u2270905347,3,1,0.00308642,324,0.075453
u1265202021013078018,6,1,0.002949853,339,0.11238675
u351930344,22,3,0.002949853,1017,0.088734844
u837053010257805312,2,1,0.002881844,347,0.11379375
u1318473869192130561,6,1,0.002624672,381,0.043761
u972760692,26,2,0.002503129,799,0.01092315
u863090413640572930,86,2,0.00204918,976,0.012288138
u1380758120180412416,23,2,0.002020202,990,0.010898869
u1252117386,269,2,0.001776199,1126,0.011037202
u1249100467,7,1,0.001751313,571,0.0711645
u1126210975101853697,10,1,0.001371742,729,0.12336625
u1633409329,7,1,0.001145475,873,0.073656333
u1269068431862763525,15,1,0.000982318,1018,0.121314375
u3054344553,111,1,0.000893655,1119,-0.02481815
