id,follower_sent,followers,following,membership,mentioned,post,like,pinned
u1364323983273959430,,0,1,0,0,40,0,0
u38418580,0.9905,1,1,1,1,72,0,1
u17401169,0.8213666666666667,3,3,3,0,200,0,0
u727151330339467266,-0.3307333333333334,3,1,0,1,48,0,1
u938759705270239236,-0.06359999999999999,2,5,0,0,40,0,0
u1036876613798035456,-0.40895000000000004,3,5,0,4,40,0,1
u96496631,0.63465,3,1,0,3,220,0,0
u2542132494,0.98586,6,2,2,4,294,0,1
u1100763769750372354,,0,1,0,0,200,0,0
u904344869581316097,,0,1,0,0,40,0,0
u907036029961379840,0.3595,1,1,0,1,43,0,0
u2882072878,,0,15,0,0,286,0,0
u895948501288407040,0.35086,7,6,2,5,104,0,0
u1353735910098132998,,0,2,0,0,40,0,0
u18168511,,0,1,0,1,61,0,1
u1154395412385738754,0.26295,2,3,1,2,87,0,0
u2382100904,,0,1,0,0,200,0,0
u3000232516,,0,1,0,0,98,0,0
u2229505958,,0,2,1,0,40,0,1
u1975412299,-0.8651,4,14,0,2,222,0,1
u1304341193883627521,0.0484,2,5,0,7,46,0,1
u779577742111174660,,0,1,0,0,203,0,0
u1298169022823923712,0.9154,5,9,1,2,233,0,1
u900251054008348672,,0,1,0,0,40,0,0
u1094322881075376128,,1,10,0,0,130,0,0
u1127558902290288640,0.2756,6,1,0,2,48,0,0
u709387364653789184,0.9719,1,1,1,17,45,0,0
u2423058966,0.94205,2,1,3,1,47,0,0
u1257657896093077506,,0,6,0,0,42,0,0
u3002332681,0.989,1,1,0,2,41,0,0
u862364028,0.26644999999999996,2,1,1,2,43,0,0
u3302584252,,0,1,0,6,51,0,0
u737547113467252736,0.56685,2,5,0,0,29,0,1
u1449079390852243460,,0,1,0,0,47,0,0
u1332520539773165569,,0,1,0,0,200,0,1
u728706048,-0.06353333333333333,33,12,0,1,957,70,1
u1293640384791425027,0.11106666666666666,8,9,1,0,207,0,0
u147977670,0.4019,32,191,0,0,188,86,0
u87765465,,0,1,9,11,69,0,0
u19203268,-0.8591,2,2,1,82,198,0,1
u921016410251366401,,0,1,0,0,165,0,0
u622099688,0.9663,1,3,0,0,171,0,0
u1008463588510429184,0.5278999999999999,4,1,4,14,49,0,1
u9408852,0.54015,4,1,0,0,204,0,0
u894057794,0.4247380952380952,214,209,67,231,1399,95,1
u1052617997012127745,0.9998,1,1,0,15,51,0,0
u931591451032551425,0.5865666666666667,4,2,2,13,47,0,0
u1102992281290694656,0.20610999999999996,13,10,4,45,219,0,0
u1026866847046672384,,1,1,0,0,199,0,0
u211850509,0.7096,1,4,0,0,40,0,0
u1329801621547716608,,0,3,0,0,199,0,0
u22174515,0.9996,1,1,0,1,72,0,1
u1429115774292070406,0.21483333333333335,14,46,0,0,536,53,0
u1491826902,-0.2023,2,3,0,0,82,0,1
u172600244,,0,1,0,0,40,0,0
u892415402,-0.3451,27,170,0,8,810,44,1
u1038752508875874304,0.9397,1,1,0,2,61,0,1
u850580674105028608,0.3519,2,9,2,1,58,0,1
u1448387414288912388,0.9997,2,1,0,5,106,0,0
u3343158677,,2,4,0,1,228,0,0
u21392407,-0.1366,6,2,8,2,64,0,0
u1409410846237892610,,0,1,1,0,70,0,0
u1186268144068898819,0.49788,5,5,2,2,56,0,1
u1251001765111226369,-0.9608,1,1,1,1,198,0,1
u1225874727840952320,,0,1,0,0,81,0,1
u3527298737,0.3191333333333333,4,2,4,3,258,0,1
u1083943563455578114,0.9953000000000001,2,2,0,2,204,0,1
u1302786301620609031,0.010575000000000001,39,159,0,2,65,81,0
u1015350898355208192,,1,3,0,0,40,0,0
u1407455972545613824,0.0,1,4,0,3,205,0,1
u833300465106485248,,1,1,0,0,173,0,0
u964908772928950272,0.4471,1,4,0,1,40,0,0
u1057868056175742977,-0.8302,1,1,0,0,40,0,0
u726679633500852224,,0,6,0,0,108,0,0
u3377830707,0.9424,1,1,0,0,39,0,0
u1033051070082306048,0.0,2,2,0,5,40,0,1
u1270221764514025473,,0,1,0,0,83,0,1
u1480562620755292165,,0,1,0,0,91,0,0
u1173081358521946113,0.9296,2,2,0,2,200,0,0
u934387335113961473,,0,1,1,0,215,0,0
u1129658093564915712,0.9898,4,4,0,5,58,0,1
u745347030889992192,,0,1,2,1,40,0,0
u1256164887161700352,0.4588,1,1,1,0,43,0,0
u2269058059,,2,4,4,0,44,0,1
u705926906,0.4763400000000001,12,12,5,10,135,0,1
u833396022751719425,0.9449,1,1,0,0,182,0,0
u1295395840387842048,0.9844,1,1,0,1,44,0,1
u1019494505383202816,0.9621,1,1,0,0,44,0,0
u1324208764627550208,-0.9991666666666666,3,2,0,8,64,0,1
u1289282717306126336,0.5482,2,1,0,0,71,0,0
u2904865133,0.252475,27,23,19,48,244,0,0
u1145664256140034050,,0,1,0,0,240,0,1
u1333461488,,0,1,0,0,198,0,0
u625544587,0.9494666666666668,3,2,1,5,118,0,1
u168574484,0.99985,2,1,0,18,14,0,0
u711207477505691648,-0.7139,2,1,0,1,199,0,1
u1323753083076288515,-0.37943333333333334,7,7,0,5,365,0,0
u23694258,0.65995,2,19,0,5,284,0,1
u1091273109498445824,,0,2,0,0,231,0,0
u1349184056248971264,,0,1,0,0,92,0,0
u1476998605642907656,,0,2,0,1,8,0,0
u1282686966,,0,1,0,0,240,0,0
u1188464523713204224,,0,1,0,0,136,0,1
u1461350706548391954,,0,3,0,0,238,0,1
u473382464,,0,1,0,0,200,0,0
u1470767893822550021,,0,1,0,0,201,0,1
u1363291188179181570,0.0011999999999999789,2,1,0,5,91,0,0
u756122645901545472,0.68025,4,1,1,18,78,0,0
u1054284237686431744,0.9998,1,1,0,0,56,0,0
u847743416800747520,,1,4,1,0,203,0,0
u1070041900411994112,,0,1,3,0,40,0,0
u1021271099580059648,,0,1,0,0,10,0,0
u25951988,,0,2,1,6,124,0,1
u1243590512113745924,-0.0752,1,2,0,0,40,0,0
u911310388511129600,0.3534,4,1,0,9,75,0,0
u967139918404308999,0.3612,1,2,0,0,41,0,1
u1324770699823718400,,0,13,0,0,154,0,0
u1344408234921132032,0.051600000000000014,6,9,0,4,63,0,1
u1396558526386954248,0.9995499999999999,2,1,1,3,45,0,1
u1458589101637222409,,0,3,0,0,40,0,0
u1273491779547918338,0.32682500000000003,5,1,0,11,42,0,0
u18951709,0.7669,1,2,0,0,41,0,0
u1283429390047739904,,0,1,0,0,117,0,0
u1234224774718595076,,0,1,1,1,114,0,0
u1013723691815927808,0.18995,10,10,3,0,200,0,0
u169674025,,1,1,4,12,119,0,1
u2446750633,-0.743,6,5,1,1,276,0,1
u541547125,0.0,1,2,0,1,41,0,0
u993302864708689920,0.009699999999999986,2,2,0,1,249,0,0
u4170439413,0.9846,3,1,1,3,88,0,0
u1408649534,0.1531,1,4,0,0,118,0,0
u759093226510745600,,1,4,0,0,46,0,0
u135141410,-0.06700000000000003,5,1,0,23,203,0,1
u1376722880646447105,,2,6,0,0,191,0,0
u2697810786,,0,1,0,0,40,0,0
u795029,,2,2,5,2,61,0,0
u820025704616062976,,1,2,0,3,94,0,1
u153811959,,1,2,0,0,282,0,1
u1148526174676627456,-0.7783,2,2,1,2,205,0,0
u1230908481760309248,,1,1,0,2,105,0,1
u819851750593200129,0.04504999999999998,5,5,1,1,58,0,1
u1362389749449818120,,0,2,0,0,29,0,0
u19345116,0.7496666666666666,8,9,1,0,198,0,1
u1204774424739766274,0.4256,6,7,0,2,42,0,0
u861957390698246145,,0,1,0,0,40,0,0
u3193444933,,0,1,0,0,40,0,0
u1472455015293984775,,0,7,0,0,111,0,0
u3818008579,,1,3,0,0,200,0,0
u1126535920273043458,-0.012999999999999998,5,10,0,0,46,0,1
u1050392630922629121,0.9762,2,3,1,7,173,0,1
u779067631231827968,0.37573999999999996,8,4,4,1,229,0,1
u1476748024223350784,,0,1,0,1,126,0,0
u767973997418020864,0.6996,1,1,0,4,47,0,0
u237051101,0.8978,1,2,0,1,180,0,0
u887029827185790986,0.91655,2,2,0,2,56,0,1
u994147546426683397,,2,2,1,22,81,0,0
u3307157470,,1,2,1,0,8,0,0
u1351645493982605321,-0.12125,4,12,0,0,94,0,0
u1351587301831409664,0.854,2,3,0,0,95,0,0
u786804744069128193,0.7390666666666666,3,6,0,16,74,0,0
u245986823,0.30825,3,4,1,0,41,0,1
u2728096128,,1,2,0,0,242,0,0
u17775450,-0.08049999999999996,7,2,0,0,41,0,1
u1383945500546633732,0.9876,1,2,1,1,114,0,1
u3241026093,0.5095,2,1,1,2,237,0,0
u1388165612342493191,0.9496,2,5,0,1,198,0,1
u509849786,0.44903333333333334,13,4,5,2,119,0,1
u762679008421146625,0.9997,1,1,0,2,43,0,0
u1481165359462117377,0.6124,1,3,0,0,36,0,1
u1484732380825153540,,0,3,0,0,214,0,0
u2457789487,,0,5,2,0,40,0,0
u787994857906249728,-0.1556,3,6,2,1,200,0,0
u175855555,,0,1,0,0,234,0,0
u1362750191980453893,,0,1,0,1,23,0,1
u1029267605301809152,,0,1,0,1,40,0,1
u2758518175,0.8442,1,1,1,1,49,0,0
u214557846,,0,3,0,0,40,0,1
u500203815,0.5186499999999999,3,8,0,1,356,0,0
u1426016964346925059,,0,1,0,0,58,0,0
u832587223782469632,0.9393,2,2,0,2,81,0,1
u1193751861087522816,0.31673333333333337,4,1,1,0,204,0,0
u1056864026343415810,0.9641500000000001,5,4,0,3,87,0,1
u1306564541212291072,0.0,1,1,1,3,69,0,1
u4818068673,,0,1,0,0,36,0,0
u624897703,0.6738333333333334,7,3,3,5,232,0,0
u1108398806134149120,0.4256,13,11,0,4,40,0,1
u897860555687436288,0.9997,1,3,0,0,201,0,1
u1358558345880248325,0.7738,1,1,2,2,116,0,0
u1239374408583532544,,0,2,0,0,22,0,0
u1317580765522202624,0.7506,1,1,1,5,215,0,1
u127300784,0.0,33,529,0,0,376,80,0
u1224409970848030720,0.9998,1,1,0,0,107,0,0
u2472578083,,0,1,0,0,43,0,0
u1460350909100273667,,0,1,0,0,89,0,1
u4829508039,,0,1,1,0,41,0,0
u459594454,,0,1,0,0,39,0,1
u1458366576676282371,0.9968,1,3,0,1,12,0,1
u2244934093,,0,4,0,0,98,0,0
u49510723,0.6474,1,1,0,0,40,0,0
u1235673902963191808,-0.27875,6,8,0,0,41,0,1
u1330783601433088002,,2,3,0,1,60,0,0
u1479305895137853442,,0,1,0,0,13,0,0
u1089457571566624768,0.9997,2,2,0,0,208,0,0
u888083033018048513,0.7025333333333332,14,9,4,0,200,0,0
u1370386280878637071,0.0,1,1,0,26,57,0,0
u947780684566765568,,0,1,0,0,227,0,0
u1275957428727607297,0.9269000000000001,2,1,0,6,45,0,0
u37219294,,0,1,3,1,41,0,1
u362084030,,1,5,0,1,204,0,1
u1027130923609927681,0.928,1,3,1,0,40,0,0
u2282953796,0.611525,5,30,0,0,41,0,1
u1131120886248103937,,0,1,0,0,40,0,0
u364075824,,0,2,0,0,198,0,0
u1293293568329752577,-0.3818,2,3,0,1,78,0,0
u1352625723480154112,,0,5,0,0,122,0,0
u1019954148526231552,0.147125,8,1,6,36,56,0,0
u904902871854059520,0.9998,1,1,0,0,203,0,0
u1256333491173838855,,1,2,0,0,199,0,0
u1483827912528699394,,0,1,0,0,47,0,1
u950950538744483840,,0,2,0,0,37,0,0
u197454677,0.0,1,3,1,0,229,0,1
u1375127026840039424,0.07436666666666665,5,7,0,19,177,0,1
u1375549676640960517,0.9996,1,2,0,0,58,0,0
u1014118816983474178,,0,1,0,0,40,0,0
u714544180547162115,0.8619,1,1,0,0,40,0,0
u1335482170471833600,,0,4,0,0,58,0,0
u953254493654831105,,0,4,0,0,41,0,1
u1013680876926980097,0.9601500000000001,2,1,0,22,60,0,0
u827028840341856256,,0,1,0,0,197,0,0
u403332412,0.6408,7,2,3,31,229,0,0
u1345835373516050432,0.0129,1,2,0,30,105,0,1
u1351573551174791176,0.6978375,8,6,1,3,100,0,0
u1392398196,0.6171666666666668,4,2,1,7,255,0,1
u63800807,-0.296,2,8,0,0,201,0,0
u1241128889247817740,,0,1,0,0,200,0,0
u106735855,,0,1,0,11,127,0,1
u406617765,-0.8302,1,2,0,0,40,0,0
u1484245537247354883,0.9123,1,3,0,0,30,0,0
u1479240146532937733,-0.2732,1,3,0,0,80,0,0
u732828997936132097,-0.6249,1,1,0,0,199,0,0
u1250044919596679169,,1,3,0,0,207,0,0
u1318667236220063745,0.3164,1,1,0,0,241,0,1
u1119950301589430273,0.75,1,1,0,0,122,0,0
u1162609081,0.9667,2,3,1,0,44,0,1
u355428046,0.86315,5,1,3,2,105,0,1
u1343117749929832449,0.9243,3,7,0,0,38,0,0
u1164236689793060864,0.30919285714285716,18,23,1,10,277,0,1
u1438963025868902403,0.9974,1,2,0,21,100,0,1
u1637933383,0.0,1,1,1,0,209,0,1
u983786655105593348,0.9888,1,1,0,0,42,0,0
u1230915286531854337,,0,2,1,0,41,0,1
u2766007172,0.28625,5,5,1,0,40,0,0
u799200604040163328,0.4019,4,11,2,8,206,0,1
u394298709,0.2441,1,2,0,0,81,0,1
u1156200950664761345,,0,1,0,0,188,0,0
u499497572,0.18108571428571432,16,1,15,31,65,0,0
u538738239,,0,1,0,0,199,0,0
u944333624580636672,0.051949999999999996,2,3,0,0,201,0,1
u1084141894723084288,,0,1,0,0,57,0,0
u1135614461685960704,0.05990999999999998,23,4,1,5,123,0,1
u1463063051901366275,,0,1,0,0,58,0,0
u1404468916970209280,0.4319,3,2,0,0,146,0,1
u1447952579594436610,,2,24,0,0,218,0,1
u745415412838457344,0.634,3,3,0,18,68,0,0
u1442476829860777993,0.0010999999999999899,2,1,0,0,217,0,0
u279073373,,0,2,0,0,52,0,1
u798988663359012864,,0,1,0,0,58,0,0
u235182044,0.8442,4,3,1,0,263,0,0
u267157767,,1,2,1,0,203,0,0
u1162448263406129152,0.8492749999999999,4,1,0,13,58,0,1
u3420240633,0.9086,1,2,0,1,240,0,0
u47963966,,0,2,0,0,40,0,0
u1229343792345632769,0.886,2,1,1,0,200,0,1
u1433220979287805954,-0.6124,1,4,0,0,44,0,0
u1285355069303447554,0.731025,5,3,0,1,68,0,1
u949418983119310849,0.04149999999999998,5,1,0,3,208,0,1
u879354305849040896,0.009899999999999964,5,15,0,1,209,0,0
u1456312095872536583,0.322875,4,5,0,0,45,0,0
u1120779913617903617,,3,4,2,0,49,0,0
u271021608,,0,2,0,0,200,0,0
u980360782939590657,0.555,1,1,0,24,46,0,1
u18169311,0.9876,1,1,0,3,50,0,0
u2543721052,,0,1,1,0,626,0,1
u3573010994,,0,2,0,0,40,0,1
u1458908448528089104,0.18619999999999998,2,1,0,0,40,0,0
u220685344,,1,1,0,0,222,0,0
u1291649204511813632,0.2023,1,1,0,0,143,0,1
u25849330,,0,2,0,0,40,0,0
u1357041681867104258,,0,1,1,5,65,0,1
u1912793935,-0.06726666666666666,24,16,5,11,237,0,0
u1001773365995196416,0.0,1,1,0,0,32,0,0
u25820473,0.8118,1,1,0,2,46,0,0
u3098766091,0.4934444444444444,25,15,4,58,276,0,1
u1513795807,,0,2,0,0,9,0,0
u1357194132200988673,0.9998,1,1,0,1,53,0,1
u2900063008,0.56305,2,1,0,1,55,0,0
u844995804905574400,-0.09294999999999998,4,1,0,6,41,0,0
u1374891081746284550,,0,9,0,0,42,0,0
u1283111178395410438,,0,2,1,0,43,0,0
u1478804820,-0.6486,1,2,0,0,241,0,1
u1267888867681722368,0.9992,1,1,0,8,45,0,0
u1336303084427993088,0.6142,3,3,1,0,40,0,0
u145681921,,0,5,0,1,227,0,0
u1315354451763441667,,0,3,1,0,212,0,0
u1200502211391959042,0.6905285714285715,11,7,1,29,70,0,0
u1035557609770811392,0.1624,1,3,0,26,65,0,0
u1153718395440914432,0.2288,4,4,1,0,212,0,0
u361991728,,0,2,0,0,92,0,0
u2908699057,,2,1,0,1,226,0,1
u1152210900872519685,0.993,3,1,1,24,69,0,0
u1074687105605951488,,0,1,0,0,197,0,1
u3266833710,0.9294,1,4,3,0,201,0,0
u1249492913114890240,,0,1,0,0,33,0,1
u891589717782822912,,1,1,0,0,40,0,0
u14747430,0.9765,2,4,4,2,116,0,1
u1417747040856154112,,1,2,1,1,130,0,0
u1484094481011982337,,0,5,0,0,14,0,0
u973308265000984576,,0,1,0,4,67,0,1
u1105413728567259136,,0,1,0,0,200,0,0
u50318402,,1,2,0,1,236,0,0
u872024833428774912,0.0,5,27,0,1,215,0,0
u1130259036912459777,,0,1,0,0,199,0,0
u1187937876362706944,0.802,1,1,0,0,40,0,0
u84344194,-0.41295,4,1,1,0,96,0,0
u896543550,,0,1,0,0,40,0,0
u1031623544,0.1372,1,1,1,1,40,0,0
u1175958294827098113,0.97655,3,5,0,0,120,0,1
u42018531,,1,2,0,4,53,0,0
u1271125053317529608,0.9795000000000001,3,1,0,1,58,0,0
u1252967125,0.0,1,1,0,0,40,0,0
u1554093775,0.6607000000000001,5,17,1,5,128,0,0
u1180223671530610689,-0.9976,1,1,0,0,40,0,0
u841708349641113601,,1,5,0,12,236,0,0
u1425010893088169988,-0.024375000000000008,11,16,0,0,132,0,0
u855121435,,0,1,0,0,168,0,1
u1469663582,0.318,3,3,0,1,57,0,0
u3053663748,0.487675,4,1,3,0,231,0,1
u1385436386,-0.3182,2,5,1,0,42,0,1
u1484090932177903617,,0,1,0,0,2,0,0
u1463383166572380162,,0,1,0,0,79,0,1
u1157367373936177153,0.5514333333333332,6,2,2,10,83,0,1
u932615364957102080,0.303925,4,2,9,0,41,0,1
u66696458,0.9992,1,1,0,0,50,0,1
u1280948390126325768,0.5435000000000001,16,6,2,71,55,0,1
u2709487664,0.56124,14,15,7,1,41,0,0
u1444084307530641415,,1,1,0,0,130,0,0
u2492003419,0.964,1,1,0,0,69,0,0
u1356494490308022278,,1,2,0,1,79,0,0
u986305669467959298,0.3660333333333334,3,1,0,3,85,0,0
u1869270200,0.9888,2,1,0,1,40,0,1
u3917391331,-0.002950000000000008,2,2,0,8,59,0,1
u76703578,0.0,1,1,0,0,200,0,0
u54317231,-0.3825,6,6,6,7,89,0,0
u1232403766772666376,0.7669,1,1,0,0,226,0,1
u48112016,0.4404,2,2,1,1,41,0,0
u961772873634398208,-0.7003,1,1,1,0,40,0,1
u999721881405149185,0.6319,3,1,0,0,201,0,1
u1450247625618296839,,1,2,0,0,59,0,1
u3345520012,,0,1,0,0,40,0,0
u327681510,,0,2,0,0,205,0,0
u720228997,0.16265999999999997,14,2,5,16,83,0,1
u1474315167928401923,0.9998,1,1,0,0,54,0,1
u1418134936733687808,,0,2,0,0,49,0,1
u1247202600602275842,,2,25,0,6,248,0,0
u1231547806789382145,,2,1,1,2,40,0,0
u3188359392,,0,1,0,0,198,0,0
u1057980701973364739,,0,1,1,0,40,0,1
u974262519593349120,-0.22598000000000001,5,1,0,16,209,0,0
u1191898487622963200,0.1844,2,1,1,0,204,0,0
u1124993425936388096,,0,1,0,0,143,0,0
u1400872878753685509,0.98975,2,2,2,0,55,0,1
u1080721335091834880,-0.09758333333333334,16,13,3,22,222,0,0
u546652450,0.2732,1,1,0,0,200,0,0
u1441020907468754946,0.8816333333333333,3,18,1,24,75,0,1
u735919923919216640,0.8202,1,8,0,0,178,0,0
u562124809,0.9648,2,2,2,0,213,0,0
u789116359204540416,1.0,2,0,1,0,42,0,0
u965477363931738112,0.9792,1,0,0,0,83,0,0
u905935847257628673,0.9852,1,0,0,0,200,0,0
u1225708549071761408,,1,1,0,0,40,0,0
u29776366,1.0,1,0,0,0,40,0,0
u1413813811,0.9792,1,0,0,0,40,0,0
u1182600164546170885,0.9735,1,0,0,0,42,0,0
u876605660,0.9961,2,0,3,0,43,0,0
u1214251782961975296,0.9999,1,0,0,2,47,0,0
u2240803728,-0.4767,1,0,1,0,208,0,1
u980962992312520704,0.9999,1,0,0,1,66,0,0
u1253462934476533763,0.0,1,0,0,5,78,0,0
u3367041147,0.97445,4,0,1,1,72,0,0
u36668387,0.9998,1,0,1,0,57,0,1
u3314680173,0.9988,1,0,0,1,204,0,0
u2251567346,0.27325,3,1,2,5,53,0,1
u2457513954,1.0,2,0,2,1,40,0,0
u1245382582310756353,-0.9998,1,0,0,4,45,0,0
u128318960,0.8012,1,0,2,0,201,0,0
u1487153221,0.8351250000000001,5,0,1,11,52,0,1
u3352832481,0.8238,1,0,2,6,52,0,0
u1356680007381364737,0.9399500000000001,2,0,0,10,53,0,1
u866986820013260806,0.9998,2,0,1,0,56,0,1
u14510678,,1,0,0,1,318,0,1
u1269630184141062145,0.0,2,0,2,2,181,0,1
u2694294601,0.9882,1,0,0,0,93,0,0
u387612230,0.984,3,0,2,1,50,0,1
u546029429,-0.11789999999999996,10,0,2,25,56,0,0
u138323645,0.9946,2,1,0,1,51,0,0
u1100113042359111681,0.8494,1,0,0,0,200,0,0
u1027127493730492416,0.4493333333333333,9,0,1,1,244,0,0
u1630702176,0.7683,2,0,0,3,41,0,0
u4625321353,0.0,1,0,1,0,200,0,0
u74518561,0.9992,1,0,0,0,79,0,0
u1440561558472441863,0.87295,4,1,0,9,52,0,0
u216592469,0.9882,1,0,0,0,45,0,0
u1340508181168943111,,1,0,0,0,103,0,1
u871861023413649409,0.7413000000000001,6,1,4,0,46,0,1
u839284391180394500,0.8945,2,0,0,0,40,0,0
u2281510448,0.4999,3,0,2,1,201,0,1
u3044303442,0.2576818181818182,25,0,8,32,105,0,1
u63289705,0.4359,1,0,1,0,105,0,1
u4555258043,0.4978666666666667,3,0,0,0,46,0,0
u796998696047087616,0.080575,4,0,0,0,199,0,0
u1192209317102882817,0.999,2,0,0,3,61,0,0
u704261360054575104,0.08324999999999999,2,0,0,1,196,0,1
u1369087786863656961,0.9995,1,0,0,0,200,0,0
u22660726,0.33557499999999996,4,0,4,3,292,0,1
u1418586970071183361,1.0,1,0,0,2,258,0,1
u47376621,0.9756,1,0,0,1,46,0,0
u1255426719454048260,-0.9986,1,0,0,0,200,0,1
u1382577669997539328,0.9991,1,0,0,0,222,0,1
u1243553076423909382,-0.0516,1,0,1,0,106,0,0
u396588662,0.296,1,0,0,0,40,0,0
u1169636691243687939,0.09859999999999997,3,0,2,2,45,0,1
u4187472616,-0.8947,1,0,0,2,47,0,0
u1287982978925174785,0.1294,9,0,0,1,226,0,1
u937062855266000903,0.5133,1,0,0,1,42,0,1
u3294478912,0.8897,1,0,1,0,40,0,0
u1259936624781045760,0.0,2,0,1,0,77,0,1
u1247532438688956418,0.9913,1,0,1,0,255,0,0
u1243226632644710401,0.0,1,0,1,1,46,0,1
u1410616625259184128,0.9913,1,0,0,4,62,0,0
u2471009922,0.2869142857142858,13,0,5,72,221,0,0
u797111715133554688,0.9992,1,0,0,0,158,0,0
u1249343480784203778,0.9999,1,0,0,0,40,0,0
u774276177636814848,0.9998,1,0,0,2,64,0,1
u1133098836216373248,0.0,1,0,0,0,185,0,1
u316511039,-0.1027,2,0,1,5,129,0,1
u557467945,0.9936,4,0,1,1,43,0,0
u16492892,0.9555,1,0,0,0,200,0,0
u19442437,0.7275,1,0,0,0,199,0,1
u2477568151,-0.359,2,0,0,1,47,0,1
u2821142156,0.9999,1,0,0,0,40,0,0
u1174591180576907264,0.0,1,0,0,0,42,0,1
u56000383,0.8441,1,0,1,0,51,0,0
u2999138977,-0.296,1,0,3,0,42,0,1
u266568360,0.9941,1,0,1,0,49,0,0
u1026721967066427392,0.0509,2,0,1,2,54,0,1
u134530332,-0.27492,6,0,4,6,250,0,0
u95232489,0.7156,2,0,0,5,104,0,0
u3152477810,,1,0,0,2,40,0,0
u3953328852,0.8945,1,0,0,0,64,0,1
u286783492,1.0,1,0,1,0,39,0,0
u49428313,0.4215,1,0,6,4,118,0,0
u1425701898905022468,0.6705,1,0,0,0,40,0,0
u2995631530,0.5848,1,0,0,0,224,0,0
u424507376,0.3612,1,0,0,0,200,0,0
u866571632785190912,0.74875,2,0,0,6,46,0,0
u307158332,-0.9423,2,0,2,0,41,0,1
u1472243058456637442,0.9999,1,0,0,0,147,0,0
u21524609,0.743,2,0,1,2,98,0,1
u984126059711991808,0.4391,2,0,0,119,119,0,0
